"avg_r"	"#hitsAntd"	"totalNumAnnotations"	"#hitsAntdH_i"	"numAnnotationsH_i"	"csvListOfPairedRs"	"scoreDistribution"	"annotatorId"
0.1461	4	80	0	0	"89=0.3561, 49=0.3267, 75=0.0096, 2=0.2246, 64=-0.0192, 4=0.263, 67=-0.2752, 82=0.0978, 83=0.2654, 79=0.212"	"0=13.8%, 1=12.5%, 2=18.8%, 3=55.0%"	"81"
0.1985	1	20	0	0	"87=-0.0102, 85=0.1641, 4=0.1162, 49=0.5238"	"0=40.0%, 1=25.0%, 2=35.0%, 3=0.0%"	"86"
0.1224	1	20	0	0	"85=0.1151, 86=-0.0102, 4=0.3022, 49=0.0824"	"0=5.0%, 1=30.0%, 2=40.0%, 3=25.0%"	"87"
0.2964	1	20	0	0	"115=0.0145, 158=0.3729, 2=0.5599, 48=0.2384"	"0=60.0%, 1=10.0%, 2=20.0%, 3=10.0%"	"165"
0.147	1	20	0	0	"87=0.1151, 86=0.1641, 4=0.0191, 49=0.2897"	"0=70.0%, 1=30.0%, 2=0.0%, 3=0.0%"	"85"
0.2169	1	15	0	0	"68=-0.028, 2=0.2745, 179=0.5082, 48=0.1131"	"0=73.3%, 1=26.7%, 2=0.0%, 3=0.0%"	"207"
0.4631	1	15	0	0	"62=0.3761, 2=0.3359, 179=0.5172, 48=0.623"	"0=60.0%, 1=13.3%, 2=13.3%, 3=13.3%"	"206"
0.0815	1	15	1	15	"216=0.4537, 150=0.0795, 48=-0.3118, 49=0.1045"	"0=26.7%, 1=20.0%, 2=20.0%, 3=33.3%"	"226"
0.4239	1	30	0	0	"9=0.1402, 8=1.0, 4=-0.0205, 10=0.5758"	"0=96.7%, 1=3.3%, 2=0.0%, 3=0.0%"	"7"
0.1084	1	15	1	15	"150=0.135, 48=0.4041, 49=-0.2138"	"0=46.7%, 1=40.0%, 2=6.7%, 3=6.7%"	"225"
0.169	1	20	0	0	"19=-0.0337, 93=-0.0901, 4=0.1922, 107=0.6077"	"0=40.0%, 1=40.0%, 2=20.0%, 3=0.0%"	"109"
0.3714	1	20	0	0	"103=0.3418, 93=0.0975, 105=0.3703, 96=0.6761"	"0=75.0%, 1=5.0%, 2=20.0%, 3=0.0%"	"102"
0.2225	1	20	0	0	"102=0.3418, 93=0.3363, 105=-0.1862, 96=0.3981"	"0=80.0%, 1=20.0%, 2=0.0%, 3=0.0%"	"103"
0.2544	3	55	0	0	"205=0.2237, 48=0.0212, 19=-0.2925, 99=0.1398, 123=-0.0794, 124=-0.0987, 4=0.6618, 179=0.7273, 2=-0.0161, 101=0.7925, 96=0.7188"	"0=41.8%, 1=32.7%, 2=18.2%, 3=7.3%"	"100"
0.5076	1	20	0	0	"99=0.0824, 100=0.7925, 4=0.4735, 96=0.6819"	"0=90.0%, 1=5.0%, 2=0.0%, 3=5.0%"	"101"
0.0898	1	20	0	0	"19=0.3164, 93=-0.1988, 4=0.3535, 107=-0.1118"	"0=90.0%, 1=5.0%, 2=0.0%, 3=5.0%"	"106"
0.1231	1	20	0	0	"19=0.3668, 93=-0.3407, 4=0.3432"	"0=25.0%, 1=15.0%, 2=25.0%, 3=35.0%"	"107"
0.1283	2	35	1	15	"216=0.1462, 150=0.5512, 48=0.1571, 49=-0.1936, 102=0.3703, 103=-0.1862, 93=0.0495, 96=0.1318"	"0=42.9%, 1=14.3%, 2=25.7%, 3=17.1%"	"105"
0.4161	1	25	0	0	"2=0.1147, 4=0.4564, 40=0.4252, 41=0.6682"	"0=80.0%, 1=20.0%, 2=0.0%, 3=0.0%"	"39"
0.3821	1	25	0	0	"27=0.3966, 2=0.3595, 28=0.3904"	"0=64.0%, 1=24.0%, 2=4.0%, 3=8.0%"	"33"
-0.0461	1	25	0	0	"33=-0.0057, 27=-0.4394, 2=-0.1241, 28=0.3849"	"0=32.0%, 1=36.0%, 2=24.0%, 3=8.0%"	"32"
-0.1492	1	15	1	15	"150=0.0886, 225=-0.314, 48=-0.3716, 49=-0.0"	"0=33.3%, 1=33.3%, 2=26.7%, 3=6.7%"	"224"
0.466	1	25	0	0	"19=0.223, 9=0.7207, 2=0.3173, 35=0.6028"	"0=80.0%, 1=8.0%, 2=12.0%, 3=0.0%"	"37"
0.5262	1	25	0	0	"19=0.5508, 9=0.5265, 2=0.425, 37=0.6028"	"0=88.0%, 1=8.0%, 2=4.0%, 3=0.0%"	"35"
0.27	1	15	0	0	"100=0.2237, 2=0.5009, 179=0.3994, 48=-0.0439"	"0=20.0%, 1=40.0%, 2=33.3%, 3=6.7%"	"205"
-0.2639	1	15	1	15	"179=0.0356, 43=-0.3796, 48=-0.3684, 49=-0.343"	"0=53.3%, 1=33.3%, 2=6.7%, 3=6.7%"	"223"
0.0798	2	45	0	0	"49=-0.1796, 50=-0.0604, 43=0.0642, 4=0.2627, 71=0.3222, 70=0.0695"	"0=88.9%, 1=8.9%, 2=0.0%, 3=2.2%"	"60"
0.1451	1	25	0	0	"50=0.2947, 62=0.2511, 4=-0.0986, 49=0.1333"	"0=48.0%, 1=16.0%, 2=24.0%, 3=12.0%"	"61"
0.1177	4	70	0	0	"48=0.0264, 49=0.226, 208=0.0801, 206=0.3761, 50=0.1554, 61=0.2511, 2=-0.1678, 4=0.4863, 179=-0.0967, 68=-0.1595"	"0=35.7%, 1=41.4%, 2=1.4%, 3=21.4%"	"62"
0.1881	3	60	0	0	"49=0.2152, 88=0.4359, 75=0.242, 89=0.1001, 4=0.1651, 67=0.0, 90=0.3658, 81=-0.0192"	"0=20.0%, 1=50.0%, 2=25.0%, 3=5.0%"	"64"
0.4918	1	25	0	0	"67=0.7701, 50=0.3122, 66=0.344, 49=0.5409"	"0=68.0%, 1=16.0%, 2=12.0%, 3=4.0%"	"65"
0.2986	1	25	0	0	"67=0.2676, 65=0.344, 50=0.184, 49=0.3989"	"0=16.0%, 1=24.0%, 2=32.0%, 3=28.0%"	"66"
